Timestamp,program,number of courses,year,curricular activities,time after  curricular activities,courses in week,"7. On average, how many assignments do you receive per week?",8.How often do you submit these assignments on time?,9. Do you wait until the last minute to study before examination?,10. Are you able to cover enough topics  before examination?,"11. In preparing for an academic work deadline, I often waste my time by doing other things ",12. I would classify myself as someone who is generally:
2021/07/18 9:16:39 PM GMT,Economics ,7,Third,Yes,Sometimes,4,2,Very Often,Yes,No,Sometimes,Self motivated and always gets things done on time
2021/07/18 9:27:42 PM GMT,Chemistry,7,First,Yes,Sometimes,3,2,Very Often,Sometimes,No,Sometimes,Self motivated and always gets things done on time
2021/07/18 9:40:07 PM GMT,Bsc. Biochemistry ,7,Third,"No(If no,please move to question 6)",,3,1,Very Often,No,Yes,Never,Self motivated and sometimes gets things done ahead of time
2021/07/18 9:45:13 PM GMT,Economics,6,Fourth,Yes,Always,4,3,Very Often,No,Yes,Never,Self motivated and sometimes gets things done ahead of time
2021/07/18 9:50:36 PM GMT,Economics,8,Second,Yes,Always,8,5,Very Often,No,Yes,Never,Self motivated and always gets things done on time
2021/07/18 9:58:38 PM GMT,Bsc. Statistics ,7,Third,"No(If no,please move to question 6)",,3,3,Sometimes,Sometimes,No,Sometimes,Self motivated and always gets things done on time
2021/07/18 10:16:39 PM GMT,Economics ,7,Third,Yes,Sometimes,4,2,Very Often,Sometimes,No,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/18 11:44:45 PM GMT,Bsc.Statistics,7,Third,"No(If no,please move to question 6)",,5,4,Sometimes,Sometimes,Yes,Sometimes,Self motivated and always gets things done on time
2021/07/19 12:05:46 AM GMT,Bsc. Quantity surveying and construction economics ,9,First,"No(If no,please move to question 6)",,5,6,Very Often,No,Yes,Never,Self motivated and always gets things done on time
2021/07/19 12:15:52 AM GMT,Statistics ,7,Third,Yes,Always,2,2,Very Often,No,Yes,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/19 1:59:32 AM GMT,B.A Geography,6,Third,Yes,Always,5,0,Never,No,Yes,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/19 3:24:44 AM GMT,Political studies ,9,First,Yes,Sometimes,3,3,Very Often,Sometimes,No,Very often,Puts things off until the last minute or doesn't complete them
2021/07/19 3:37:00 AM GMT,Economics,7,Third,"No(If no,please move to question 6)",,3,4,Very Often,Yes,Yes,Sometimes,Puts things off until the last minute or doesn't complete them
2021/07/19 5:09:11 AM GMT,Economics ,7,Third,"No(If no,please move to question 6)",Always,5,3,Very Often,No,Yes,Never,Self motivated and sometimes gets things done ahead of time
2021/07/19 7:26:20 AM GMT,B.A ECONOMICS,7,Second,Yes,Always,5,3,Very Often,No,Yes,Never,Self motivated and always gets things done on time
2021/07/19 10:09:37 AM GMT,Social work,7,First,Yes,Sometimes,3,3,Never,Sometimes,No,Never,Needs reminding to get things done on time
2021/07/19 10:16:34 AM GMT,Statistics ,7,Third,Yes,Always,2,3,Very Often,No,Yes,Never,Self motivated and always gets things done on time
2021/07/19 10:40:26 AM GMT,Statistics ,7,First,Yes,Always,7,2,Very Often,No,Yes,Never,Self motivated and always gets things done on time
2021/07/19 11:20:59 AM GMT,Construction Technology and Management. ,8,Second,"No(If no,please move to question 6)",,4,4,Very Often,No,Yes,Never,Self motivated and always gets things done on time
2021/07/19 11:38:20 AM GMT,Human biology,6,Third,Yes,Sometimes,5,2,Very Often,No,Yes,Sometimes,Self motivated and always gets things done on time
2021/07/19 11:44:10 AM GMT,Human Biology Medicine ,6,Third,Yes,Always,6,2,Very Often,No,Yes,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/19 11:59:29 AM GMT,BA.Econonmics,8,First,Yes,Sometimes,2,2,Very Often,No,No,Never,Self motivated and sometimes gets things done ahead of time
2021/07/19 12:20:39 PM GMT,Bsc. Mathematics,7,Third,Yes,Always,7,2,Very Often,Yes,Yes,Sometimes,Self motivated and always gets things done on time
2021/07/19 1:56:25 PM GMT,Economics ,6,Third,"No(If no,please move to question 6)",,6,1,Sometimes,No,Yes,Sometimes,Needs reminding to get things done on time
2021/07/19 2:08:34 PM GMT,Doctor of veterinary medicine ,6,First,"No(If no,please move to question 6)",,3,2,Very Often,Sometimes,No,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/19 2:19:20 PM GMT,Medical Laboratory Technology ,7,Second,"No(If no,please move to question 6)",,3,3,Very Often,No,Yes,Never,Self motivated and always gets things done on time
2021/07/19 2:25:24 PM GMT,Electrical Engineering,7,First,Yes,Always,3,2,Very Often,Sometimes,Yes,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/19 2:55:52 PM GMT,Doctor of Veterinary Medicine,7,First,Yes,Sometimes,5,3,Very Often,Sometimes,No,Sometimes,Self motivated and always gets things done on time
2021/07/19 4:03:27 PM GMT,Bsc. Biochemistry,8,Second,Yes,Sometimes,3,1,Sometimes,Sometimes,Yes,Sometimes,Self motivated and always gets things done on time
2021/07/19 5:19:48 PM GMT,Bachelor of education,7,First,Yes,Sometimes,7,3,Very Often,No,Yes,Never,Self motivated and sometimes gets things done ahead of time
2021/07/19 6:14:05 PM GMT,BA. History ,6,Third,Yes,Sometimes,2,4,Very Often,Yes,Yes,Sometimes,Self motivated and always gets things done on time
2021/07/19 7:26:29 PM GMT,Hb,6,Third,"No(If no,please move to question 6)",Not at all,2,2,Very Often,Sometimes,Yes,Sometimes,Puts things off until the last minute or doesn't complete them
2021/07/19 7:54:10 PM GMT,POLITICAL STUDIES/ENGLISH,8,Second,"No(If no,please move to question 6)",,4,2,Very Often,Sometimes,Yes,Never,Self motivated and sometimes gets things done ahead of time
2021/07/19 8:09:58 PM GMT,Doctor of Pharmacy,7,Third,Yes,Sometimes,1,5,Sometimes,Sometimes,Yes,Very often,Self motivated and sometimes gets things done ahead of time
2021/07/19 10:37:42 PM GMT,Political science,5,Second,"No(If no,please move to question 6)",,4,5,Sometimes,Sometimes,Yes,Sometimes,Self motivated and always gets things done on time
2021/07/20 12:17:25 AM GMT,Pharmacy,7,Third,Yes,Always,6,5,Very Often,No,Yes,Never,Self motivated and always gets things done on time
2021/07/20 11:40:13 AM GMT,B.A English,9,First,Yes,Always,7,3,Very Often,No,Yes,Never,Self motivated and always gets things done on time
2021/07/20 2:56:23 PM GMT,Biochemistry ,8,Second,Yes,Sometimes,6,4,Very Often,No,Yes,Never,Self motivated and always gets things done on time
2021/07/20 3:24:25 PM GMT,BSc mathematics,7,Third,"No(If no,please move to question 6)",,4,5,Very Often,No,Yes,Sometimes,Self motivated and always gets things done on time
2021/07/20 4:54:15 PM GMT,English,7,Third,"No(If no,please move to question 6)",,3,5,Sometimes,Sometimes,No,Sometimes,Self motivated and always gets things done on time
2021/07/20 5:03:59 PM GMT,Midwifery,8,First,Yes,Sometimes,8,2,Very Often,No,Yes,Sometimes,Needs reminding to get things done on time
2021/07/20 7:08:08 PM GMT,BA TEXTILES TECHNOLOGY ,7,Other:_____________________________________________________________,Yes,Always,2,4,Sometimes,Sometimes,No,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/20 8:46:16 PM GMT,Mathematics ,7,Second,"No(If no,please move to question 6)",,7,3,Very Often,No,Yes,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/20 8:47:49 PM GMT,BSc. Chemistry ,7,First,"No(If no,please move to question 6)",Sometimes,4,1,Very Often,Sometimes,No,Sometimes,Self motivated and always gets things done on time
2021/07/20 8:49:56 PM GMT,Politics ,8,Second,"No(If no,please move to question 6)",,0,3,Very Often,Yes,Yes,Never,Self motivated and always gets things done on time
2021/07/20 8:50:14 PM GMT,BA MEDIA AND COMMUNICATION STUDIES ,9,First,Yes,Sometimes,3,2,Very Often,Sometimes,Yes,Never,Self motivated and always gets things done on time
2021/07/20 8:53:47 PM GMT,BSC AGRICULTURE,9,First,Yes,Always,9,3,Very Often,No,Yes,Sometimes,Self motivated and always gets things done on time
2021/07/20 8:55:11 PM GMT,Biomedical engineering ,8,First,Yes,Sometimes,4,5,Very Often,No,Yes,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/20 8:57:43 PM GMT,Geography,9,First,Yes,Sometimes,6,5,Very Often,Sometimes,Yes,Sometimes,Self motivated and always gets things done on time
2021/07/20 9:00:28 PM GMT,Bsc. Business Administration,7,First,Yes,Always,6,2,Very Often,Yes,Yes,Never,Self motivated and always gets things done on time
2021/07/20 9:02:07 PM GMT,Midwifery,8,First,Yes,Always,8,3,Very Often,No,No,Never,Self motivated and always gets things done on time
2021/07/20 9:11:57 PM GMT,Business administration ,7,First,Yes,Always,5,4,Very Often,No,Yes,Sometimes,Self motivated and always gets things done on time
